시군명,충전소명,소재지지번주소,소재지도로명주소,소재지우편번호,WGS84위도,WGS84경도,운영기관명,충전기타입명
성남시,기아오토큐판교점,경기도 성남시 분당구 백현동 399번지 기아오토큐 판교점 지상주차장 장애인주차구획 옆 주차면,경기도 성남시 분당구 대왕판교로385번길 18,13543,37.3782205095,127.0999259911,에스트래픽,AC완속
성남시,수정구청,경기도 성남시 수정구 신흥동 30번지 민원인 주차장,경기도 성남시 수정구 수정로 283,13259,37.4503054371,127.1457610598,에스트래픽,DC차데모+DC콤보
성남시,성남시 평생학습원,경기도 성남시 분당구 야탑동 610번지 ( B1 진입 후 우측 ),경기도 성남시 분당구 판교로 546,13514,37.4039682800,127.1347142400,에스트래픽,DC차데모+DC콤보
성남시,복정제4 공영주차장(4호),경기도 성남시 수정구 복정동 707번지 2층,경기도 성남시 수정구 복정로20번길 16,13119,37.4546981350,127.1291196401,에스트래픽,DC차데모+DC콤보
성남시,은행동 제10공영주차장,"경기도 성남시 중원구 은행동 2474번지 (진입 후 우측방향, 좌측위치)",경기도 성남시 중원구 은이로 11,13153,37.4576199451,127.1658417969,에스트래픽,DC차데모+DC콤보
성남시,중앙동 제1공영주차장,경기도 성남시 중원구 중앙동 6-1번지 (지하1층 진출로 옆),경기도 성남시 중원구 희망로 443,13249,37.4443900465,127.1571731397,에스트래픽,DC차데모+DC콤보
성남시,태평동 탄천변 공영주차장,경기도 성남시 ,,,,,에스트래픽,DC차데모+DC콤보
성남시,야탑역 제1환승공영주차장,경기도 성남시 분당구 야탑동 364-2번지 B3 진입 후 우측 위치,경기도 성남시 분당구 성남대로 920,13506,37.4120724222,127.1291716985,에스트래픽,DC차데모+DC콤보
성남시,동서울대학교,경기도 성남시 수정구 복정동 산42번지 지하주차장 1층 G1,경기도 성남시 수정구 복정로 76,13117,37.4602788301,127.1295104544,이카플러그,DC차데모+DC콤보
성남시,롯데마트 판교점,경기도 성남시 분당구 삼평동 741 지하 2층 E01번,,,,,환경부(한국자동차환경협회),DC차데모+AC3상+DC콤보
성남시,성남시 서현1동행정복지센터,경기도 성남시 분당구 서현동 89-1번지 주차장,경기도 성남시 분당구 중앙공원로39번길 35,13588,37.3828579698,127.1260511237,차지비,AC완속
성남시,성남시 복정동행정복지센터,경기도 성남시 수정구 복정동 641-12번지 지하주차장,경기도 성남시 수정구 복정로 144,13113,37.4658777786,127.1271080878,차지비,AC완속
성남시,성남시 야탑2동행정복지센터,경기도 성남시 분당구 야탑동 508번지 옥외주차장,경기도 성남시 분당구 야탑로76번길 5,13520,37.4094257491,127.1273767784,차지비,AC완속
성남시,성남시 이마트(분당점),경기도 성남시 분당구 정자동 211번지 본관7층 D구역,경기도 성남시 분당구 불정로 134,13605,37.3587980632,127.1197565645,차지비,AC완속
성남시,성남시 이마트(성남점),경기도 성남시 수정구 태평동 7336번지 성남태평동신세계쉐덴 본관B2층 C3구역,경기도 성남시 수정구 수정로 201,13281,37.4442981490,127.1413917241,차지비,AC완속
성남시,포스코ICT 판교,경기도 성남시 분당구 삼평동 622번지,경기도 성남시 분당구 판교로 255,13486,37.4042793774,127.1026122319,차지비,DC차데모+AC3상+DC콤보
성남시,성남시 산성동 주민센터,경기도 성남시 수정구 산성동 2136번지 주차장,경기도 성남시 수정구 수정남로 261,13130,37.4522021731,127.1500824006,차지비,AC완속
성남시,성남시 태평2동 주민센터,경기도 성남시 수정구 태평동 3307-2번지 주차장,경기도 성남시 수정구 남문로 108,13289,37.4471293677,127.1387327322,차지비,AC완속
성남시,성남시 금광2동 주민센터,경기도 성남시 중원구 금광동 3657번지 주차장,경기도 성남시 중원구 광명로 345,13177,37.4462664876,127.1640043078,차지비,AC완속
성남시,성남시 정자2동 주민센터,경기도 성남시 분당구 정자동 118번지 주차장,경기도 성남시 분당구 내정로 66,13607,37.3660035933,127.1152593639,차지비,AC완속
성남시,성남시 야탑3동 주민센터,경기도 성남시 분당구 야탑동 307번지 주차장,경기도 성남시 분당구 야탑로167번길 12,13504,37.4108286456,127.1379353316,차지비,AC완속
성남시,성남시 금곡동 주민센터,경기도 성남시 분당구 금곡동 174번지 주차장,경기도 성남시 분당구 성남대로171번길 14,13615,37.3516357408,127.1070901857,차지비,AC완속
성남시,성남시 은행2동 주민센터,경기도 성남시 중원구 은행동 2476번지 주차장,경기도 성남시 중원구 은이로 21,13153,37.4570899327,127.1664773454,차지비,AC완속
성남시,성남시 삼평동주민센터,경기도 성남시 분당구 삼평동 712번지 주차장,경기도 성남시 분당구 동판교로266번길 7,13490,37.4061274051,127.1163198073,차지비,AC완속
